title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
Fury,2014,134.0,Drama,68,"Oct 17, 2014","$80,000,000",85817906.0,210315681.0
Fury,2014,134.0,War,68,"Oct 17, 2014","$80,000,000",85817906.0,210315681.0
G.I. Joe: Retaliation,2013,110.0,Action,13,"Mar 27, 2013","$140,000,000",122523060.0,375740705.0
G.I. Joe: Retaliation,2013,110.0,Adventure,13,"Mar 27, 2013","$140,000,000",122523060.0,375740705.0
G.I. Joe: Retaliation,2013,110.0,Sci-Fi,13,"Mar 27, 2013","$140,000,000",122523060.0,375740705.0
Game Night,2018,100.0,Action,94,"Feb 23, 2018","$37,000,000",69179066.0,117378084.0
Game Night,2018,100.0,Comedy,94,"Feb 23, 2018","$37,000,000",69179066.0,117378084.0
Game Night,2018,100.0,Crime,94,"Feb 23, 2018","$37,000,000",69179066.0,117378084.0
Gamer,2011,92.0,Drama,82,"Sep 4, 2009","$50,000,000",20534907.0,42002029.0
Gangster Squad,2013,113.0,Action,4,"Jan 11, 2013","$60,000,000",46000903.0,104100903.0
Gangster Squad,2013,113.0,Crime,4,"Jan 11, 2013","$60,000,000",46000903.0,104100903.0
Gangster Squad,2013,113.0,Drama,4,"Jan 11, 2013","$60,000,000",46000903.0,104100903.0
Genius,2016,104.0,Biography,10,"Jun 10, 2016","$17,000,000",1361045.0,7265283.0
Genius,2016,104.0,Drama,10,"Jun 10, 2016","$17,000,000",1361045.0,7265283.0
Genius,2018,165.0,Action,10,"Jun 10, 2016","$17,000,000",1361045.0,7265283.0
Genius,2018,165.0,Thriller,10,"Jun 10, 2016","$17,000,000",1361045.0,7265283.0
Geostorm,2017,109.0,Action,99,"Oct 20, 2017","$100,000,000",33700160.0,220796009.0
Geostorm,2017,109.0,Sci-Fi,99,"Oct 20, 2017","$100,000,000",33700160.0,220796009.0
Geostorm,2017,109.0,Thriller,99,"Oct 20, 2017","$100,000,000",33700160.0,220796009.0
Gerry,2011,131.0,Biography,56,"Feb 14, 2003","$7,000,000",254683.0,719699.0
Get Hard,2015,100.0,Comedy,97,"Mar 27, 2015","$40,000,000",90411453.0,106511453.0
Get Hard,2015,100.0,Crime,97,"Mar 27, 2015","$40,000,000",90411453.0,106511453.0
Get Hard,2018,90.0,Comedy,97,"Mar 27, 2015","$40,000,000",90411453.0,106511453.0
Get Him to the Greek,2010,109.0,Adventure,22,"Jun 4, 2010","$40,000,000",61153526.0,91455875.0
Get Him to the Greek,2010,109.0,Comedy,22,"Jun 4, 2010","$40,000,000",61153526.0,91455875.0
Get Him to the Greek,2010,109.0,Music,22,"Jun 4, 2010","$40,000,000",61153526.0,91455875.0
Get Out,2017,104.0,Horror,49,"Feb 24, 2017","$5,000,000",176040665.0,255367951.0
Get Out,2017,104.0,Mystery,49,"Feb 24, 2017","$5,000,000",176040665.0,255367951.0
Get Out,2017,104.0,Thriller,49,"Feb 24, 2017","$5,000,000",176040665.0,255367951.0
Get Real,2019,45.0,Drama,38,"Apr 30, 1999","$2,000,000",1152411.0,1152411.0
Get on Up,2014,139.0,Biography,35,"Aug 1, 2014","$30,000,000",30569935.0,33339868.0
Get on Up,2014,139.0,Drama,35,"Aug 1, 2014","$30,000,000",30569935.0,33339868.0
Get on Up,2014,139.0,Music,35,"Aug 1, 2014","$30,000,000",30569935.0,33339868.0
Getaway,2013,90.0,Action,20,"Aug 30, 2013","$18,000,000",10501938.0,11813989.0
